True_value,Prediction
[1036.94],[1067.3765]
[1143.6747],[1099.5331]
[935.30133],[962.1198]
[875.19434],[916.02747]
[977.2443],[992.4368]
[715.82635],[668.9102]
[1007.715],[1017.4034]
[1414.9197],[1407.3301]
[1283.3964],[1134.9395]
[878.128],[905.10785]
[1158.4863],[1116.8011]
[1094.031],[1093.3265]
[1060.8517],[1081.465]
[1264.044],[1353.8766]
[1257.008],[1210.2788]
[1080.7914],[1129.8723]
[976.539],[992.0327]
[1024.632],[1012.89557]
[753.9277],[731.9517]
[1089.4563],[1076.0221]
[921.2247],[939.88135]
[802.546],[776.991]
[942.0003],[955.2295]
[871.6193],[931.2221]
[906.59],[902.78766]
[1097.9576],[1090.1466]
[1111.8987],[1108.0001]
[1096.3403],[1119.7572]
[734.89233],[705.6078]
[905.2447],[933.7121]
[1025.1393],[942.23035]
[1319.4543],[1319.6584]
[850.835],[864.2085]
[804.2623],[809.39905]
[1119.442],[1152.7368]
[1480.179],[1446.6522]
[1250.0717],[1191.5222]
[1468.4203],[1419.9792]
[847.8903],[872.6127]
[1067.3523],[1094.3582]
[917.154],[902.1745]
[1040.4274],[1070.631]
[1043.8806],[1045.7428]
[1168.3534],[1165.9535]
[1225.587],[1228.1825]
[857.81036],[906.4457]
[634.19867],[648.6563]
[1524.6716],[1460.2297]
[891.4617],[918.8334]
[1500.8966],[1553.5278]
[977.016],[970.458]
[1531.6853],[1553.648]
[1154.5493],[1167.9886]
[670.957],[648.0975]
[977.133],[1002.7929]
[1044.5977],[1096.3644]
[1109.039],[1035.39]
[986.696],[959.5353]
[811.8903],[771.8142]
[775.81635],[753.9564]
[991.07166],[1064.8752]
[1009.216],[1036.9409]
[739.69666],[741.248]
[803.741],[847.4298]
[769.0807],[818.8252]
[1164.7887],[1117.688]
[837.686],[854.1574]
[706.03436],[728.18054]
[952.71436],[986.634]
[784.53265],[803.74854]
[934.2087],[885.45435]
[1103.7163],[1037.3546]
[968.7247],[1007.7254]
[761.03564],[736.3468]
[1200.4684],[1195.898]
[745.9403],[782.88824]
[1195.729],[1166.4589]
[769.4943],[758.1256]
[1263.69],[1339.9324]
[1012.909],[1008.8617]
[1041.5524],[1024.514]
[1390.0713],[1398.9562]
[706.762],[690.11957]
[1196.8704],[1211.6066]
[1270.8347],[1239.8251]
[1073.5844],[1083.9403]
[1220.071],[1281.6804]
[724.413],[709.9155]
[1809.114],[1553.556]
[1185.1926],[1204.7284]
[1092.392],[1004.8397]
[1079.844],[1084.164]
[903.4533],[887.4676]
[712.694],[737.28375]
[1823.7227],[1553.4867]
[992.0153],[955.3989]
[976.959],[990.1841]
[1111.7313],[1134.0277]
[1104.9093],[1087.9641]
[1062.7563],[899.2113]
[877.3093],[831.8047]
[585.3127],[601.4739]
[803.165],[780.39465]
[1329.7263],[1362.1375]
[696.69135],[709.9796]
[579.54333],[607.8373]
[1077.7523],[1114.6583]
[752.418],[741.7025]
[1294.6553],[1372.2472]
[841.756],[822.2762]
[651.489],[686.98773]
[1338.9197],[1342.3517]
[1487.689],[1550.2808]
[1278.6766],[1166.831]
[1011.2783],[1063.8971]
[1102.85],[1038.154]
[980.1377],[972.6683]
[1230.166],[1200.3788]
[973.17035],[1010.2799]
[905.548],[938.45374]
[698.994],[631.937]
[1310.4307],[1359.071]
[1016.18567],[1037.1733]
[726.063],[695.2502]
[768.29565],[757.58185]
[887.328],[909.35754]
[1128.4193],[1135.9463]
[790.0317],[830.46]
[905.491],[942.57886]
[1042.7147],[1071.1859]
[800.652],[798.13184]
[2080.5867],[1553.515]
[894.2473],[931.998]
[789.44666],[811.7831]
[811.30865],[856.8739]
[1131.9114],[1156.2552]
[1142.8553],[1165.5374]
[1187.4996],[1242.6854]
[1159.57],[1147.093]
[916.601],[952.3236]
[947.471],[1029.4691]
[778.3697],[823.4549]
[952.901],[1003.6041]
[897.7967],[886.7715]
[976.57367],[1060.8064]
[854.165],[885.2894]
[788.4037],[806.7329]
[722.10736],[678.55597]
[986.40466],[983.312]
[759.27734],[768.43414]
[1233.6813],[1250.1177]
[1036.0043],[1060.4308]
[831.5673],[819.0221]
[1023.05566],[1022.44653]
[1023.37964],[1083.656]
[874.4113],[854.3588]
[806.6583],[808.2092]
[883.01636],[837.07745]
[901.20734],[961.0042]
[1163.9844],[1130.1367]
[1309.069],[1274.8931]
[786.247],[784.81555]
[809.97235],[823.82275]
[1009.98535],[1006.11566]
[1168.672],[1186.4952]
[1244.0563],[1228.2463]
[1090.7134],[1109.6425]
[1054.5073],[1074.8236]
[876.04565],[881.75195]
[1011.9033],[1004.61523]
[792.41864],[843.53015]
[660.461],[676.63806]
[864.3873],[844.12537]
[749.77966],[758.67224]
[856.3383],[861.22656]
[1111.6196],[1161.1952]
[1060.0303],[1090.3827]
[1155.377],[1149.2805]
[1017.904],[994.6575]
[795.67834],[847.14087]
[1244.9517],[1209.1295]
[774.02167],[741.8271]
[873.952],[844.2517]
[1286.439],[1280.1223]
[1142.3977],[1166.6404]
[840.75867],[806.1137]
[1135.4343],[1093.1732]
[1493.0366],[1553.3656]
[656.778],[654.30035]
[1404.138],[1347.9342]
[768.54834],[814.64496]
[1140.2103],[1120.2314]
[1190.4597],[1246.3524]
[810.78735],[831.9964]
[860.358],[939.7359]
[912.95465],[965.69635]
[881.20264],[914.7873]
[1045.538],[1107.672]
[1339.025],[1365.2098]
[1659.6277],[1553.3953]
[741.158],[698.8254]
[734.93134],[761.33966]
[836.217],[844.9632]
[944.8677],[1008.9524]
[768.06836],[894.5195]
[946.869],[875.5645]
[1064.8207],[1056.4668]
[1163.091],[1151.4816]
[863.975],[814.3983]
[820.42035],[830.80994]
[1124.623],[1149.2853]
[812.422],[767.6205]
[1073.5847],[1058.859]
[672.8567],[654.74854]
[944.15466],[969.5211]
[870.18036],[868.8552]
[1063.6876],[1047.291]
[1029.403],[1024.373]
[905.08234],[1006.2883]
[1155.75],[1143.1718]
[1215.243],[1163.7723]
[1216.2113],[1252.8352]
[689.73364],[675.2928]
[791.1383],[794.93896]
[1021.46265],[1035.5231]
[1212.202],[1209.2114]
[1158.4437],[1195.7933]
[870.0863],[894.93036]
[832.27466],[818.2694]
[915.467],[951.6493]
[1066.4836],[1064.5371]
[1016.7237],[1062.4678]
[773.18],[769.4416]
[913.67],[932.7702]
[775.4503],[765.9543]
[1035.4867],[1037.6996]
