group,Date,KWH,Next_3_Days_Energy_Total,sunshine,global_radiation,max_temp,mean_temp,min_temp,pressure,cloud_cover_0.0,cloud_cover_1.0,cloud_cover_2.0,cloud_cover_3.0,cloud_cover_4.0,cloud_cover_5.0,cloud_cover_6.0,cloud_cover_7.0,cloud_cover_8.0,precipitation_0,precipitation_1,precipitation_2,precipitation_3,precipitation_4,snow_depth_0.0,snow_depth_1.0,Predictions
55,2013-05-17,977.415,947.325666666667,42.0,106.0,16.0,9.7,6.7,100640.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,[1014.3644]
40,2012-09-30,735.817,637.174,96.0,71.0,17.3,12.1,6.1,101870.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,[911.4613]
33,2013-10-21,1150.191,1112.019,0.0,28.0,18.4,15.2,12.2,100570.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,[1196.0848]
39,2013-12-28,1309.644,1377.5066666666664,270.0,40.0,10.5,6.3,3.7,99750.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,[1434.7692]
4,2013-08-03,598.552,644.6096666666666,588.0,254.0,24.5,20.0,15.2,101520.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,[695.398]
51,2013-07-24,711.419,724.6150000000001,516.0,247.0,26.9,21.5,15.3,101430.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,[756.9071]
53,2013-09-11,809.325,823.2963333333333,48.0,75.0,20.5,14.7,11.9,102120.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,[807.7857]
3,2013-10-07,855.929,858.2163333333333,258.0,96.0,21.0,15.1,9.9,102550.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,[911.34033]
25,2013-07-09,680.2620000000001,648.4176666666665,870.0,333.0,24.6,19.9,12.5,102820.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,[694.13104]
55,2013-04-27,1008.997,1024.5366666666669,348.0,188.0,12.1,7.2,2.9,101560.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,[1000.3241]
19,2013-11-22,1139.48,1150.6213333333335,258.0,50.0,8.1,5.8,3.3,101790.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,[1207.8495]
12,2014-01-08,1020.952,994.0710000000004,54.0,23.0,9.1,9.4,6.7,101190.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,[1047.1139]
19,2013-04-09,1077.253,1120.1056666666668,0.0,59.0,11.1,6.7,3.6,99750.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,[1068.8723]
23,2012-10-21,1025.369,915.423,0.0,27.0,14.9,11.5,9.3,101810.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,[948.3057]
5,2013-10-12,853.328,887.6229999999999,180.0,77.0,11.4,11.7,9.2,101820.0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,[926.0825]
3,2013-11-28,1018.88,1125.5683333333334,0.0,15.0,10.4,8.8,7.2,103470.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,[1114.8595]
55,2013-08-28,842.77,814.7073333333336,552.0,215.0,24.7,18.5,12.2,102230.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,[825.9037]
48,2014-02-12,905.878,941.1196666666668,48.0,37.0,8.6,6.0,2.6,99410.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,[965.1116]
37,2014-02-11,1313.294,1371.1509999999998,162.0,54.0,9.3,5.4,2.0,99660.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,[1405.5582]
27,2012-10-12,975.185,993.989,384.0,106.0,13.5,12.3,9.7,100580.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,[1110.3073]
32,2013-10-08,925.709,1029.9343333333334,294.0,100.0,17.8,16.8,12.6,102480.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,[982.58136]
19,2013-10-29,1002.146,1002.0196666666668,390.0,85.0,14.5,10.3,7.5,101060.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,[1005.7843]
26,2013-02-06,968.985,980.4716666666668,66.0,37.0,5.7,4.4,2.8,100720.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,[1026.0754]
21,2013-05-24,745.731,743.8420000000001,12.0,92.0,16.2,7.7,5.5,100970.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,[771.63477]
10,2014-02-11,1054.807,1038.4433333333334,162.0,54.0,9.3,5.4,2.0,99660.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,[1048.2454]
27,2013-09-07,849.223,862.4066666666668,366.0,156.0,18.5,15.2,10.9,101400.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,[913.8457]
19,2013-05-31,833.232,844.3826666666668,318.0,205.0,18.8,16.7,11.4,101830.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,[884.261]
52,2013-08-02,719.72,721.261,300.0,188.0,24.7,21.8,17.2,100880.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,[727.3847]
40,2013-04-07,1133.662,1057.9979999999998,456.0,187.0,11.2,4.6,-1.2,101970.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,[1079.8671]
49,2012-10-04,906.078,950.752,450.0,128.0,15.8,11.4,6.4,100820.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,[1001.88324]
11,2014-01-03,984.799,1048.9836666666663,174.0,34.0,9.5,8.6,6.5,99440.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,[1051.3005]
18,2013-08-24,885.127,885.6473333333333,0.0,61.0,24.7,18.0,17.2,101100.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,[918.0249]
40,2013-05-28,869.206,882.1,0.0,81.0,13.2,10.8,9.6,100050.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,[927.66]
45,2014-01-10,1207.0,1267.037,234.0,41.0,9.2,6.6,2.3,101430.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,[1229.9496]
36,2013-07-13,823.334,847.4036666666667,726.0,301.0,29.8,22.9,14.3,102390.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,[851.3362]
29,2013-07-19,765.572,788.5673333333333,858.0,324.0,24.6,22.6,15.9,102510.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,[812.52185]
4,2013-08-24,688.7139999999999,660.2529999999999,0.0,61.0,24.7,18.0,17.2,101100.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,[686.30133]
36,2013-04-08,1000.686,1023.5886666666668,252.0,143.0,9.7,7.7,4.1,100530.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,[1060.2208]
29,2013-12-28,1052.967,1123.5390000000002,270.0,40.0,10.5,6.3,3.7,99750.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,[1124.6571]
55,2013-03-09,1270.286,1402.338,0.0,39.0,4.2,6.5,5.7,100270.0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,[1388.9023]
37,2014-02-13,1329.774,1356.1773333333333,336.0,78.0,12.4,6.2,3.8,99250.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,[1407.7655]
5,2014-01-03,984.144,1006.2063333333332,174.0,34.0,9.5,8.6,6.5,99440.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,[1085.6395]
